Id;CreationDate;PostId;Score;Text;UserId
1904427;2010-01-01 00:00:50.027;1987105;0;Be aware that `eval` has security implications: http://mywiki.wooledge.org/BashFAQ/048;26428
1904431;2010-01-01 00:02:46.280;1981242;0;As an example, my firefox 3.5.6 has a Go Daddy intermediate cert but not the rapidssl intermediate cert.;238704
1904434;2010-01-01 00:04:58.833;1980771;0;Hmmm, I don't see the rapidssl ca at that apple.com link;238704
1904436;2010-01-01 00:06:14.540;1987485;0;Hmm, some languages allow the inference to be after the point of var declaration...;84535
1904437;2010-01-01 00:06:18.223;1976193;0;"Hmm...maybe you can look at the test page directly:  http://ppgeez.com/stats/enter_game.php

Basically, there is one main table, and then inside each of that tables TD's contains 2 nested tables.  The radio boxes are in a table themselves, and the checkbox and N/A radio button are in another.  Thats why, when I turn OFF the highlighting, I had to find the 0th parent, instead of the 1st parent like I use to turn it on.  Check it out... if you can update your code so I can see how its done, that would be great.  Thanks.";240350
1904438;2010-01-01 00:07:28.233;841201;0;I'd love to see syntax like this in more languages, like C#.;12971
1904440;2010-01-01 00:08:19.310;1987512;4;Specifically, the optional `DocumentType` node is a `childNode` of `Document`, just as the root `documentElement` and any `Comment` nodes outside the root are.;18936
1904441;2010-01-01 00:08:28.780;1978064;0;That's too bad. Good luck discovering the source of your problem.;165876
1904442;2010-01-01 00:08:37.267;1987520;0;The doesn't seem anything related to php. It's like windows is encoding to ANSI when I save it with this code. At least this is the conclusion I am getting at;8715
1904444;2010-01-01 00:10:31.023;1986709;0;Nicely put, a House class would really tie the rooms together.;241676
1904447;2010-01-01 00:11:31.613;1987543;1;"You can also use the ""simplified"" databinding syntax of ASP.NET 2.0 and newer: <%# Eval(""videoFile"") %>";31668
1904448;2010-01-01 00:12:06.103;1986571;0;In that case dynamic linq may help, but you may need a two-pass approach. Parse the data once to see which tags are encountered, and then another time to fill the list of new objects. I guess the problem is that if any mp3 file has a defined property, after you map the values to objects (dynamic or not) all of them have to have that property.;175823
1904449;2010-01-01 00:12:24.043;1987183;0;"Pseudocode is on page 121 of that book. Note that the algorithm given there is a little different; it's guaranteed to terminate but may fail to find a solution even if one exists. It's only ""almost certain"" to find the solution, and then only if the graph has a lot of edges! By contrast, the algorithm as described by Wikipedia will wander forever if no Hamiltonian path exists. Hey, what can you expect of an O(n^2) algorithm for an NP-complete problem?";94977
1904450;2010-01-01 00:12:37.477;1987485;0;It would surprise me if C# doesn't get more clever about type inference at some point.  As long as all assignments in the current scope attempt to assign the same time, a compiler can handle this situation.;141172
1904451;2010-01-01 00:13:46.413;1987514;0;"Yes - did ""Clean all targets"", deleted ""Build"" folder";241762
1904452;2010-01-01 00:13:59.673;1987325;0;I've updated my response to include a C# program that prints out all the values.;31668
1904453;2010-01-01 00:14:03.200;1984871;3;"I dropped Perl and moved to Python, not because of speed concerns but language concerns. Python is a joy to program in; Perl gives me sorrow.";60075
1904455;2010-01-01 00:16:37.203;1987213;0;You'll want to take a look at the NSConnection class, and its related classes (NSURL, NSURLConnection, etc).;6694
1904457;2010-01-01 00:17:14.707;1987520;0;"Okay, now you lost me. What exactly *are* you asking about? The encoding detected by some editor? If there are no ""high"" characters in the file, then it may very well be detected as ISO-8859-1, since BOMless UTF-8 (PHP wants it without a BOM, so...) with no characters >=128 will differ in their binary representation from the ISO-8859-1 representation.";27528
1904458;2010-01-01 00:18:03.550;1985083;0;"""Python local vars are much faster than globals."" Interesting. Do you have a good reference to explain this? How about class instance variables—are they faster than globals too?";60075
1904459;2010-01-01 00:18:09.837;1987221;0;there is no link to click. i added what i can see above;108869
1904460;2010-01-01 00:18:56.033;1987554;14;"Usually it means they want gullible kids who are willing to work for equity stakes and ""experience"" in lieu of competitive pay.";187712
1904461;2010-01-01 00:19:16.127;1987553;0;Maybe if you explained what that meant - there aren't many people here that do both .net and java.;21234
1904462;2010-01-01 00:19:24.767;1987554;12;Ask them, not us.;NULL
1904463;2010-01-01 00:19:25.730;1987468;0;"You will eventually want to use something specific instead of coupling this to the logger, such as opt[""time_functions""] (which you might default to True/False based on some other option).";NULL
1904464;2010-01-01 00:20:02.297;1987512;0;Thank you, Alex.  bobince, the comment you left is also very informative.;241761
1904466;2010-01-01 00:20:50.877;1987557;0;Thanks, I don't know why I didn't look at the samples first. :-);105500
1904468;2010-01-01 00:21:37.863;1987495;0;It may.  Does it?;17034
1904469;2010-01-01 00:21:53.493;1986908;0;If it's closed as moved, there will be a link here which you can follow to superuser.com where other people may add answers.;26428
1904470;2010-01-01 00:21:54.227;1987460;0;The question wasn't clear, but I interpreted it as a character array non-static data member, for which this answer wouldn't apply.;NULL
1904471;2010-01-01 00:21:56.693;1987024;0;Change the '*' metacharacter to a '+' so that the URL has at least one character in the path. Answer updated.;90527
1904472;2010-01-01 00:22:02.690;1984660;0;No shared group was needed, I don’t even know what that is.;17279
1904473;2010-01-01 00:23:16.347;1970966;0;Thanks - so then this could also be a useful function to get different screen states together with a timer function to show the application in various states for documentation purposes?;239721
1904474;2010-01-01 00:23:16.470;1987183;0;@Kevin Montrose: The algorithm relies on being able to pivot, which reverses part of the path. So no, I don't think it would work for a directed graph.;94977
1904475;2010-01-01 00:23:56.477;1987495;0;I am not sure.  Someone with more C++ knowledge will hopefully answer that.  I didn't want to claim something I don't know for sure.  (Of course, I hope I got everything regarding C right in my reply - but if not, I will be happy to be corrected!);226621
1904476;2010-01-01 00:24:15.970;1987481;0;It seems that part is a bug. The same issue happens on this demo http://valums.com/wp-content/uploads/2009/10/editableText/demo/demo.htm;240609
